x,y,z,T,Ux,Uy,Uz,p,source
4.9500,0.4500,0.0500,295.820,0.1974,0.3236,-0.0262,100032.00,vane25
5.0500,0.4500,0.0500,295.840,0.2074,0.3189,-0.0250,100032.00,vane25
5.1500,0.4500,0.0500,295.862,0.2152,0.3131,-0.0237,100032.00,vane25
5.2500,0.4500,0.0500,295.886,0.2208,0.3063,-0.0223,100032.00,vane25
5.3500,0.4500,0.0500,295.913,0.2242,0.2986,-0.0211,100032.00,vane25
5.4500,0.4500,0.0500,295.942,0.2255,0.2900,-0.0199,100032.00,vane25
5.5500,0.4500,0.0500,295.973,0.2251,0.2807,-0.0188,100032.00,vane25
5.6500,0.4500,0.0500,296.007,0.2233,0.2707,-0.0181,100032.00,vane25
5.7500,0.4500,0.0500,296.041,0.2215,0.2598,-0.0178,100032.00,vane25
2.2500,0.5500,0.0500,296.055,-0.2063,0.2753,-0.0118,100032.00,vane25
2.3500,0.5500,0.0500,296.022,-0.2081,0.2855,-0.0119,100032.00,vane25
2.4500,0.5500,0.0500,295.991,-0.2100,0.2946,-0.0124,100032.00,vane25
2.5500,0.5500,0.0500,295.962,-0.2106,0.3029,-0.0132,100032.00,vane25
2.6500,0.5500,0.0500,295.935,-0.2096,0.3104,-0.0141,100032.00,vane25
2.7500,0.5500,0.0500,295.910,-0.2066,0.3170,-0.0150,100032.00,vane25
2.8500,0.5500,0.0500,295.888,-0.2015,0.3227,-0.0160,100032.00,vane25
2.9500,0.5500,0.0500,295.868,-0.1944,0.3273,-0.0170,100032.00,vane25
3.0500,0.5500,0.0500,295.850,-0.1853,0.3308,-0.0179,100032.00,vane25
3.1500,0.5500,0.0500,295.835,-0.1742,0.3328,-0.0188,100032.00,vane25
3.2500,0.5500,0.0500,295.822,-0.1611,0.3333,-0.0197,100032.00,vane25
3.3500,0.5500,0.0500,295.812,-0.1459,0.3321,-0.0205,100032.00,vane25
3.4500,0.5500,0.0500,295.803,-0.1287,0.3291,-0.0213,100032.00,vane25
3.5500,0.5500,0.0500,295.798,-0.1093,0.3243,-0.0222,100032.00,vane25
3.6500,0.5500,0.0500,295.794,-0.0877,0.3179,-0.0229,100032.00,vane25
3.7500,0.5500,0.0500,295.793,-0.0640,0.3105,-0.0234,100032.00,vane25
3.8500,0.5500,0.0500,295.795,-0.0380,0.3032,-0.0231,100032.00,vane25
3.9500,0.5500,0.0500,295.800,-0.0143,0.2966,-0.0219,100032.00,vane25
4.0500,0.5500,0.0500,295.800,0.0143,0.2966,-0.0219,100032.00,vane25
4.1500,0.5500,0.0500,295.795,0.0380,0.3032,-0.0231,100032.00,vane25
4.2500,0.5500,0.0500,295.793,0.0640,0.3105,-0.0234,100032.00,vane25
4.3500,0.5500,0.0500,295.794,0.0877,0.3179,-0.0229,100032.00,vane25
4.4500,0.5500,0.0500,295.798,0.1093,0.3243,-0.0222,100032.00,vane25
4.5500,0.5500,0.0500,295.803,0.1287,0.3291,-0.0213,100032.00,vane25
4.6500,0.5500,0.0500,295.812,0.1459,0.3321,-0.0205,100032.00,vane25
4.7500,0.5500,0.0500,295.822,0.1611,0.3333,-0.0197,100032.00,vane25
4.8500,0.5500,0.0500,295.835,0.1742,0.3328,-0.0188,100032.00,vane25
4.9500,0.5500,0.0500,295.850,0.1853,0.3308,-0.0179,100032.00,vane25
5.0500,0.5500,0.0500,295.868,0.1944,0.3273,-0.0170,100032.00,vane25
5.1500,0.5500,0.0500,295.888,0.2015,0.3227,-0.0160,100032.00,vane25
5.2500,0.5500,0.0500,295.910,0.2066,0.3170,-0.0150,100032.00,vane25
5.3500,0.5500,0.0500,295.935,0.2096,0.3104,-0.0141,100032.00,vane25
5.4500,0.5500,0.0500,295.962,0.2106,0.3029,-0.0132,100032.00,vane25
5.5500,0.5500,0.0500,295.991,0.2100,0.2946,-0.0124,100032.00,vane25
5.6500,0.5500,0.0500,296.022,0.2082,0.2855,-0.0120,100032.00,vane25
5.7500,0.5500,0.0500,296.055,0.2063,0.2753,-0.0118,100032.00,vane25
2.2500,0.6500,0.0500,296.075,-0.1919,0.2842,-0.0068,100032.00,vane25
2.3500,0.6500,0.0500,296.044,-0.1942,0.2937,-0.0072,100032.00,vane25
2.4500,0.6500,0.0500,296.014,-0.1964,0.3019,-0.0077,100032.00,vane25
2.5500,0.6500,0.0500,295.987,-0.1972,0.3091,-0.0083,100032.00,vane25
2.6500,0.6500,0.0500,295.961,-0.1964,0.3154,-0.0090,100032.00,vane25
2.7500,0.6500,0.0500,295.938,-0.1938,0.3209,-0.0098,100032.00,vane25
