t_s,point,ue_x,ue_y,z,T_C,U_mag
31.05,D,0.50,0.80,1.70,28.850,0.0344
32.2,A,4.00,2.00,0.10,28.850,0.1864
32.2,A,4.00,2.00,1.10,28.850,0.1147
32.2,A,4.00,2.00,1.70,28.850,0.0716
32.2,B,7.50,0.80,0.10,28.850,0.1581
32.2,B,7.50,0.80,1.10,28.850,0.0228
32.2,B,7.50,0.80,1.70,28.850,0.0353
32.2,C,4.00,4.50,0.10,28.850,0.1579
32.2,C,4.00,4.50,1.10,28.850,0.0006
32.2,C,4.00,4.50,1.70,28.850,0.0006
32.2,D,0.50,0.80,0.10,28.850,0.1581
32.2,D,0.50,0.80,1.10,28.850,0.0228
32.2,D,0.50,0.80,1.70,28.850,0.0353
33.35,A,4.00,2.00,0.10,28.850,0.1906
33.35,A,4.00,2.00,1.10,28.850,0.1173
33.35,A,4.00,2.00,1.70,28.850,0.0733
33.35,B,7.50,0.80,0.10,28.850,0.1617
33.35,B,7.50,0.80,1.10,28.850,0.0233
33.35,B,7.50,0.80,1.70,28.850,0.0361
33.35,C,4.00,4.50,0.10,28.850,0.1615
33.35,C,4.00,4.50,1.10,28.850,0.0006
33.35,C,4.00,4.50,1.70,28.850,0.0006
33.35,D,0.50,0.80,0.10,28.850,0.1617
33.35,D,0.50,0.80,1.10,28.850,0.0233
33.35,D,0.50,0.80,1.70,28.850,0.0361
34.5,A,4.00,2.00,0.10,28.850,0.1948
34.5,A,4.00,2.00,1.10,28.850,0.1199
34.5,A,4.00,2.00,1.70,28.850,0.0749
34.5,B,7.50,0.80,0.10,28.850,0.1652
34.5,B,7.50,0.80,1.10,28.850,0.0239
34.5,B,7.50,0.80,1.70,28.850,0.0369
34.5,C,4.00,4.50,0.10,28.850,0.1650
34.5,C,4.00,4.50,1.10,28.850,0.0006
34.5,C,4.00,4.50,1.70,28.850,0.0006
34.5,D,0.50,0.80,0.10,28.850,0.1652
34.5,D,0.50,0.80,1.10,28.850,0.0239
34.5,D,0.50,0.80,1.70,28.850,0.0369
35.65,A,4.00,2.00,0.10,28.850,0.1988
35.65,A,4.00,2.00,1.10,28.850,0.1223
35.65,A,4.00,2.00,1.70,28.850,0.0764
35.65,B,7.50,0.80,0.10,28.850,0.1687
35.65,B,7.50,0.80,1.10,28.850,0.0243
35.65,B,7.50,0.80,1.70,28.850,0.0376
35.65,C,4.00,4.50,0.10,28.850,0.1684
35.65,C,4.00,4.50,1.10,28.850,0.0006
35.65,C,4.00,4.50,1.70,28.850,0.0006
35.65,D,0.50,0.80,0.10,28.850,0.1687
35.65,D,0.50,0.80,1.10,28.850,0.0243
35.65,D,0.50,0.80,1.70,28.850,0.0376
36.8,A,4.00,2.00,0.10,28.850,0.2027
36.8,A,4.00,2.00,1.10,28.850,0.1248
36.8,A,4.00,2.00,1.70,28.850,0.0779
36.8,B,7.50,0.80,0.10,28.850,0.1720
36.8,B,7.50,0.80,1.10,28.850,0.0248
36.8,B,7.50,0.80,1.70,28.850,0.0384
36.8,C,4.00,4.50,0.10,28.850,0.1717
36.8,C,4.00,4.50,1.10,28.850,0.0006
36.8,C,4.00,4.50,1.70,28.850,0.0006
36.8,D,0.50,0.80,0.10,28.850,0.1720
36.8,D,0.50,0.80,1.10,28.850,0.0248
36.8,D,0.50,0.80,1.70,28.850,0.0384
37.95,A,4.00,2.00,0.10,28.850,0.2065
37.95,A,4.00,2.00,1.10,28.850,0.1271
37.95,A,4.00,2.00,1.70,28.850,0.0794
37.95,B,7.50,0.80,0.10,28.850,0.1752
37.95,B,7.50,0.80,1.10,28.850,0.0253
37.95,B,7.50,0.80,1.70,28.850,0.0391
37.95,C,4.00,4.50,0.10,28.850,0.1750
37.95,C,4.00,4.50,1.10,28.850,0.0006
37.95,C,4.00,4.50,1.70,28.850,0.0007
37.95,D,0.50,0.80,0.10,28.850,0.1752
37.95,D,0.50,0.80,1.10,28.850,0.0253
37.95,D,0.50,0.80,1.70,28.850,0.0391
