ix,iy,x,y,T
36,7,288.0,56.0,23.736
37,7,296.0,56.0,23.736
38,7,304.0,56.0,23.736
39,7,312.0,56.0,23.768
40,7,320.0,56.0,23.768
41,7,328.0,56.0,23.768
42,7,336.0,56.0,23.768
43,7,344.0,56.0,23.784
44,7,352.0,56.0,23.784
45,7,360.0,56.0,23.784
46,7,368.0,56.0,23.746
47,7,376.0,56.0,23.746
48,7,384.0,56.0,23.746
49,7,392.0,56.0,23.746
50,7,400.0,56.0,23.755
51,7,408.0,56.0,23.755
52,7,416.0,56.0,23.755
53,7,424.0,56.0,23.755
54,7,432.0,56.0,23.755
55,7,440.0,56.0,23.755
56,7,448.0,56.0,23.784
57,7,456.0,56.0,23.784
58,7,464.0,56.0,23.784
59,7,472.0,56.0,23.784
60,7,480.0,56.0,23.756
61,7,488.0,56.0,23.756
62,7,496.0,56.0,23.756
63,7,504.0,56.0,23.711
64,7,512.0,56.0,23.711
65,7,520.0,56.0,23.711
66,7,528.0,56.0,23.711
67,7,536.0,56.0,23.651
68,7,544.0,56.0,23.651
69,7,552.0,56.0,23.651
70,7,560.0,56.0,23.591
71,7,568.0,56.0,23.591
72,7,576.0,56.0,23.591
73,7,584.0,56.0,23.591
74,7,592.0,56.0,23.536
75,7,600.0,56.0,23.536
76,7,608.0,56.0,23.536
77,7,616.0,56.0,23.450
78,7,624.0,56.0,23.450
79,7,632.0,56.0,23.450
80,7,640.0,56.0,23.450
81,7,648.0,56.0,23.389
82,7,656.0,56.0,23.389
83,7,664.0,56.0,23.389
84,7,672.0,56.0,23.389
85,7,680.0,56.0,23.343
86,7,688.0,56.0,23.343
87,7,696.0,56.0,23.343
88,7,704.0,56.0,23.298
89,7,712.0,56.0,23.298
90,7,720.0,56.0,23.298
91,7,728.0,56.0,23.201
92,7,736.0,56.0,23.201
93,7,744.0,56.0,23.201
94,7,752.0,56.0,23.201
95,7,760.0,56.0,23.233
96,7,768.0,56.0,23.233
97,7,776.0,56.0,23.233
98,7,784.0,56.0,23.233
99,7,792.0,56.0,23.703
1,8,8.0,64.0,23.572
2,8,16.0,64.0,23.572
3,8,24.0,64.0,23.572
