ix,iz,x,z,T
72,3,576.0,24.0,23.203
73,3,584.0,24.0,23.203
74,3,592.0,24.0,23.309
75,3,600.0,24.0,23.309
76,3,608.0,24.0,23.309
77,3,616.0,24.0,23.427
78,3,624.0,24.0,23.427
79,3,632.0,24.0,23.427
80,3,640.0,24.0,23.427
81,3,648.0,24.0,23.545
82,3,656.0,24.0,23.545
83,3,664.0,24.0,23.545
84,3,672.0,24.0,23.545
85,3,680.0,24.0,23.650
86,3,688.0,24.0,23.650
87,3,696.0,24.0,23.650
88,3,704.0,24.0,23.755
89,3,712.0,24.0,23.755
90,3,720.0,24.0,23.755
91,3,728.0,24.0,23.885
92,3,736.0,24.0,23.885
93,3,744.0,24.0,23.885
94,3,752.0,24.0,23.885
95,3,760.0,24.0,24.162
96,3,768.0,24.0,24.162
4,4,32.0,32.0,23.943
5,4,40.0,32.0,23.943
6,4,48.0,32.0,23.943
7,4,56.0,32.0,23.697
8,4,64.0,32.0,23.697
9,4,72.0,32.0,23.697
10,4,80.0,32.0,23.697
11,4,88.0,32.0,23.676
12,4,96.0,32.0,23.676
13,4,104.0,32.0,23.676
14,4,112.0,32.0,23.690
15,4,120.0,32.0,23.690
16,4,128.0,32.0,23.690
17,4,136.0,32.0,23.690
18,4,144.0,32.0,23.698
19,4,152.0,32.0,23.698
20,4,160.0,32.0,23.698
21,4,168.0,32.0,23.698
22,4,176.0,32.0,23.701
23,4,184.0,32.0,23.701
24,4,192.0,32.0,23.701
25,4,200.0,32.0,23.718
26,4,208.0,32.0,23.718
27,4,216.0,32.0,23.718
28,4,224.0,32.0,23.753
29,4,232.0,32.0,23.753
30,4,240.0,32.0,23.753
31,4,248.0,32.0,23.753
32,4,256.0,32.0,23.800
33,4,264.0,32.0,23.800
34,4,272.0,32.0,23.800
35,4,280.0,32.0,23.855
36,4,288.0,32.0,23.855
37,4,296.0,32.0,23.855
38,4,304.0,32.0,23.855
39,4,312.0,32.0,23.871
40,4,320.0,32.0,23.871
41,4,328.0,32.0,23.871
42,4,336.0,32.0,23.871
43,4,344.0,32.0,23.319
44,4,352.0,32.0,23.319
45,4,360.0,32.0,23.319
46,4,368.0,32.0,21.772
47,4,376.0,32.0,21.772
48,4,384.0,32.0,21.772
49,4,392.0,32.0,21.772
50,4,400.0,32.0,21.332
51,4,408.0,32.0,21.332
52,4,416.0,32.0,21.332
53,4,424.0,32.0,22.262
54,4,432.0,32.0,22.262
55,4,440.0,32.0,22.262
56,4,448.0,32.0,23.648
57,4,456.0,32.0,23.648
58,4,464.0,32.0,23.648
59,4,472.0,32.0,23.648
60,4,480.0,32.0,23.878
61,4,488.0,32.0,23.878
62,4,496.0,32.0,23.878
