dir,k,step,x,y,z,T
Xp,1,43,5.2385,1.8494,1.9743,22.567
Xp,2,43,5.7741,1.8376,2.0671,22.405
Xp,3,43,6.3992,1.8380,1.8436,22.316
Xp,4,43,6.3899,1.8708,1.8119,22.321
Xp,5,43,6.3316,1.8889,1.8032,22.321
Xp,6,43,6.1489,1.9101,1.7635,22.225
Xp,7,43,5.9227,1.9310,1.7776,22.091
Xp,8,43,5.5583,1.9583,1.8542,21.611
Xp,0,44,5.0323,1.8495,2.0309,22.643
Xp,1,44,5.2449,1.8492,1.9627,22.541
Xp,2,44,5.7937,1.8348,2.0537,22.405
Xp,3,44,6.4215,1.8366,1.8270,22.325
Xp,4,44,6.4129,1.8696,1.7946,22.351
Xp,5,44,6.3544,1.8876,1.7858,22.321
Xp,6,44,6.1708,1.9081,1.7457,22.224
Xp,7,44,5.9446,1.9282,1.7593,22.211
Xp,8,44,5.5799,1.9542,1.8351,22.102
Xp,0,45,5.0384,1.8491,2.0195,22.643
Xp,1,45,5.2514,1.8490,1.9511,22.541
Xp,2,45,5.8145,1.8317,2.0396,21.902
Xp,3,45,6.4437,1.8353,1.8103,22.325
Xp,4,45,6.4355,1.8685,1.7773,22.351
Xp,5,45,6.3768,1.8864,1.7684,22.321
Xp,6,45,6.1925,1.9063,1.7280,22.290
Xp,7,45,5.9659,1.9255,1.7413,22.211
Xp,8,45,5.6011,1.9501,1.8159,22.102
Xp,0,46,5.0445,1.8487,2.0082,22.643
Xp,1,46,5.2579,1.8488,1.9395,22.541
Xp,2,46,5.8366,1.8282,2.0248,21.902
Xp,3,46,6.4656,1.8341,1.7934,22.325
Xp,4,46,6.4578,1.8675,1.7600,22.351
Xp,5,46,6.3989,1.8853,1.7510,22.321
Xp,6,46,6.2138,1.9046,1.7104,22.290
Xp,7,46,5.9867,1.9230,1.7234,22.349
Xp,8,46,5.6217,1.9461,1.7967,22.102
Xp,0,47,5.0505,1.8483,1.9968,22.643
Xp,1,47,5.2644,1.8485,1.9278,22.541
Xp,2,47,5.8596,1.8246,2.0094,21.902
Xp,3,47,6.4872,1.8330,1.7766,22.325
Xp,4,47,6.4798,1.8666,1.7427,22.351
Xp,5,47,6.4207,1.8843,1.7336,22.351
Xp,6,47,6.2349,1.9031,1.6928,22.290
Xp,7,47,6.0070,1.9206,1.7058,22.349
Xp,8,47,5.6417,1.9422,1.7777,22.102
Xp,0,48,5.0559,1.8480,1.9859,22.643
Xp,1,48,5.2708,1.8482,1.9162,22.541
Xp,2,48,5.8832,1.8208,1.9936,21.902
Xp,3,48,6.5086,1.8319,1.7597,22.325
Xp,4,48,6.5015,1.8657,1.7253,22.377
Xp,5,48,6.4423,1.8835,1.7162,22.377
Xp,6,48,6.2558,1.9016,1.6752,22.290
Xp,7,48,6.0270,1.9183,1.6882,22.349
Xp,8,48,5.6610,1.9383,1.7589,22.102
Xp,0,49,5.0605,1.8479,1.9753,22.643
Xp,1,49,5.2772,1.8479,1.9046,22.541
Xp,2,49,5.9069,1.8169,1.9776,21.902
Xp,3,49,6.5295,1.8309,1.7428,22.483
Xp,4,49,6.5230,1.8650,1.7080,22.377
Xp,5,49,6.4636,1.8826,1.6988,22.377
Xp,6,49,6.2764,1.9003,1.6577,22.290
Xp,7,49,6.0466,1.9161,1.6708,22.349
Xp,8,49,5.6797,1.9345,1.7402,22.102
Xp,0,50,5.0645,1.8479,1.9650,22.661
Xp,1,50,5.2835,1.8476,1.8929,22.541
Xp,2,50,5.9306,1.8132,1.9615,22.179
Xp,3,50,6.5502,1.8300,1.7260,22.480
Xp,4,50,6.5444,1.8643,1.6907,22.413
Xp,5,50,6.4848,1.8819,1.6814,22.377
Xp,6,50,6.2968,1.8991,1.6403,22.374
Xp,7,50,6.0661,1.9141,1.6535,22.322
Xp,8,50,5.6979,1.9307,1.7217,22.278
Xp,0,51,5.0678,1.8481,1.9551,22.661
Xp,1,51,5.2898,1.8472,1.8813,22.541
Xp,2,51,5.9541,1.8095,1.9453,22.179
Xp,3,51,6.5705,1.8292,1.7093,22.480
Xp,4,51,6.5655,1.8636,1.6734,22.413
Xp,5,51,6.5057,1.8812,1.6641,22.377
Xp,6,51,6.3170,1.8981,1.6230,22.374
Xp,7,51,6.0852,1.9123,1.6363,22.322
Xp,8,51,5.7159,1.9270,1.7032,22.278
Xp,0,52,5.0707,1.8484,1.9455,22.661
Xp,1,52,5.2960,1.8468,1.8697,22.541
Xp,2,52,5.9772,1.8060,1.9292,22.179
Xp,3,52,6.5906,1.8283,1.6926,22.480
Xp,4,52,6.5864,1.8630,1.6561,22.413
Xp,5,52,6.5265,1.8806,1.6467,22.377
Xp,6,52,6.3370,1.8972,1.6057,22.430
Xp,7,52,6.1041,1.9105,1.6191,22.322
Xp,8,52,5.7337,1.9234,1.6849,22.278
Xp,0,53,5.0733,1.8488,1.9360,22.661
Xp,1,53,5.3021,1.8464,1.8581,22.541
Xp,2,53,5.9999,1.8027,1.9131,22.179
Xp,3,53,6.6104,1.8276,1.6760,22.480
Xp,4,53,6.6072,1.8625,1.6388,22.413
Xp,5,53,6.5471,1.8800,1.6294,22.413
Xp,6,53,6.3568,1.8963,1.5884,22.430
Xp,7,53,6.1228,1.9089,1.6020,22.413
Xp,8,53,5.7513,1.9199,1.6667,22.278
Xp,0,54,5.0756,1.8492,1.9266,22.661
Xp,1,54,5.3081,1.8459,1.8464,22.558
Xp,2,54,6.0224,1.7995,1.8970,22.179
Xp,3,54,6.6301,1.8268,1.6593,22.480
Xp,4,54,6.6277,1.8621,1.6215,22.413
Xp,5,54,6.5675,1.8796,1.6121,22.413
Xp,6,54,6.3764,1.8956,1.5712,22.430
Xp,7,54,6.1414,1.9074,1.5848,22.413
Xp,8,54,5.7687,1.9166,1.6486,22.278
Xp,0,55,5.0781,1.8495,1.9171,22.661
Xp,1,55,5.3141,1.8452,1.8347,22.558
Xp,2,55,6.0447,1.7966,1.8807,22.179
Xp,3,55,6.6496,1.8261,1.6426,22.495
Xp,4,55,6.6480,1.8617,1.6043,22.441
Xp,5,55,6.5876,1.8791,1.5948,22.441
Xp,6,55,6.3958,1.8950,1.5540,22.430
Xp,7,55,6.1599,1.9060,1.5677,22.413
Xp,8,55,5.7860,1.9134,1.6306,22.278
Xp,0,56,5.0807,1.8499,1.9076,22.661
