t_s,point,ue_x,ue_y,z,T_C,U_mag
24.33,D,0.50,0.80,1.10,27.959,0.1527
24.33,D,0.50,0.80,1.70,28.503,0.1284
25.21,A,4.00,2.00,0.10,27.358,0.3028
25.21,A,4.00,2.00,1.10,27.909,0.1498
25.21,A,4.00,2.00,1.70,28.259,0.3309
25.21,B,7.50,0.80,0.10,26.962,0.4278
25.21,B,7.50,0.80,1.10,27.926,0.1585
25.21,B,7.50,0.80,1.70,28.489,0.1157
25.21,C,4.00,4.50,0.10,27.415,0.2299
25.21,C,4.00,4.50,1.10,26.774,0.4917
25.21,C,4.00,4.50,1.70,25.364,0.7747
25.21,D,0.50,0.80,0.10,26.962,0.4278
25.21,D,0.50,0.80,1.10,27.926,0.1585
25.21,D,0.50,0.80,1.70,28.489,0.1157
26.09,A,4.00,2.00,0.10,27.387,0.2829
26.09,A,4.00,2.00,1.10,27.830,0.1386
26.09,A,4.00,2.00,1.70,28.047,0.3165
26.09,B,7.50,0.80,0.10,26.953,0.4253
26.09,B,7.50,0.80,1.10,27.874,0.1664
26.09,B,7.50,0.80,1.70,28.465,0.1045
26.09,C,4.00,4.50,0.10,27.353,0.2148
26.09,C,4.00,4.50,1.10,27.038,0.4201
26.09,C,4.00,4.50,1.70,25.275,0.7694
26.09,D,0.50,0.80,0.10,26.953,0.4253
26.09,D,0.50,0.80,1.10,27.874,0.1664
26.09,D,0.50,0.80,1.70,28.465,0.1045
26.97,A,4.00,2.00,0.10,27.415,0.2640
26.97,A,4.00,2.00,1.10,27.766,0.1272
26.97,A,4.00,2.00,1.70,27.872,0.2972
26.97,B,7.50,0.80,0.10,26.943,0.4218
26.97,B,7.50,0.80,1.10,27.813,0.1745
26.97,B,7.50,0.80,1.70,28.432,0.0956
26.97,C,4.00,4.50,0.10,27.290,0.2012
26.97,C,4.00,4.50,1.10,27.276,0.3532
26.97,C,4.00,4.50,1.70,25.186,0.7591
26.97,D,0.50,0.80,0.10,26.943,0.4218
26.97,D,0.50,0.80,1.10,27.813,0.1745
26.97,D,0.50,0.80,1.70,28.432,0.0956
27.85,A,4.00,2.00,0.10,27.443,0.2459
27.85,A,4.00,2.00,1.10,27.715,0.1162
27.85,A,4.00,2.00,1.70,27.740,0.2775
27.85,B,7.50,0.80,0.10,26.930,0.4181
27.85,B,7.50,0.80,1.10,27.747,0.1808
27.85,B,7.50,0.80,1.70,28.396,0.0901
27.85,C,4.00,4.50,0.10,27.227,0.1910
27.85,C,4.00,4.50,1.10,27.417,0.3094
27.85,C,4.00,4.50,1.70,25.093,0.7485
27.85,D,0.50,0.80,0.10,26.930,0.4181
27.85,D,0.50,0.80,1.10,27.747,0.1808
27.85,D,0.50,0.80,1.70,28.396,0.0901
28.73,A,4.00,2.00,0.10,27.470,0.2285
28.73,A,4.00,2.00,1.10,27.675,0.1056
28.73,A,4.00,2.00,1.70,27.646,0.2596
28.73,B,7.50,0.80,0.10,26.914,0.4146
