ix,iz,x,z,T
22,8,176.0,64.0,21.509
23,8,184.0,64.0,21.509
24,8,192.0,64.0,21.509
25,8,200.0,64.0,21.605
26,8,208.0,64.0,21.605
27,8,216.0,64.0,21.605
28,8,224.0,64.0,21.685
29,8,232.0,64.0,21.685
30,8,240.0,64.0,21.685
31,8,248.0,64.0,21.685
32,8,256.0,64.0,21.756
33,8,264.0,64.0,21.756
34,8,272.0,64.0,21.756
35,8,280.0,64.0,21.799
36,8,288.0,64.0,21.799
37,8,296.0,64.0,21.799
38,8,304.0,64.0,21.799
39,8,312.0,64.0,21.820
40,8,320.0,64.0,21.820
41,8,328.0,64.0,21.820
42,8,336.0,64.0,21.820
43,8,344.0,64.0,21.829
44,8,352.0,64.0,21.829
45,8,360.0,64.0,21.829
46,8,368.0,64.0,21.838
47,8,376.0,64.0,21.838
48,8,384.0,64.0,21.838
49,8,392.0,64.0,21.838
50,8,400.0,64.0,21.838
51,8,408.0,64.0,21.838
52,8,416.0,64.0,21.838
53,8,424.0,64.0,21.813
54,8,432.0,64.0,21.813
55,8,440.0,64.0,21.813
56,8,448.0,64.0,21.784
57,8,456.0,64.0,21.784
58,8,464.0,64.0,21.784
59,8,472.0,64.0,21.784
60,8,480.0,64.0,21.756
61,8,488.0,64.0,21.756
62,8,496.0,64.0,21.756
63,8,504.0,64.0,21.719
64,8,512.0,64.0,21.719
65,8,520.0,64.0,21.719
66,8,528.0,64.0,21.719
67,8,536.0,64.0,21.665
68,8,544.0,64.0,21.665
69,8,552.0,64.0,21.665
70,8,560.0,64.0,21.606
71,8,568.0,64.0,21.606
72,8,576.0,64.0,21.606
73,8,584.0,64.0,21.606
74,8,592.0,64.0,21.536
75,8,600.0,64.0,21.536
76,8,608.0,64.0,21.536
77,8,616.0,64.0,21.465
78,8,624.0,64.0,21.465
79,8,632.0,64.0,21.465
80,8,640.0,64.0,21.465
81,8,648.0,64.0,21.416
82,8,656.0,64.0,21.416
83,8,664.0,64.0,21.416
84,8,672.0,64.0,21.416
85,8,680.0,64.0,21.421
86,8,688.0,64.0,21.421
87,8,696.0,64.0,21.421
88,8,704.0,64.0,21.501
89,8,712.0,64.0,21.501
90,8,720.0,64.0,21.501
91,8,728.0,64.0,21.869
92,8,736.0,64.0,21.869
93,8,744.0,64.0,21.869
94,8,752.0,64.0,21.869
95,8,760.0,64.0,22.736
96,8,768.0,64.0,22.736
4,9,32.0,72.0,22.201
5,9,40.0,72.0,22.201
6,9,48.0,72.0,22.201
7,9,56.0,72.0,21.608
8,9,64.0,72.0,21.608
