dir,k,step,x,y,z,T
Xp,3,34,6.1659,1.9280,1.9947,20.955
Xp,4,34,6.1506,1.9462,1.9860,20.955
Xp,5,34,6.1088,1.9797,2.0137,20.920
Xp,6,34,5.9254,1.9931,1.9456,21.000
Xp,7,34,5.7365,2.0152,1.9523,20.769
Xp,8,34,5.3456,2.0307,2.0146,20.683
Xp,0,35,5.0739,1.8496,2.0704,21.687
Xp,1,35,5.6237,1.8503,1.9056,20.342
Xp,2,35,6.1920,1.8528,1.9774,21.179
Xp,3,35,6.1920,1.9278,1.9774,21.179
Xp,4,35,6.1772,1.9459,1.9685,21.143
Xp,5,35,6.1384,1.9799,1.9964,20.920
Xp,6,35,5.9525,1.9927,1.9285,20.878
Xp,7,35,5.7633,2.0133,1.9342,20.769
Xp,8,35,5.3673,2.0271,1.9973,20.683
Xp,0,36,5.0830,1.8496,2.0565,21.687
Xp,1,36,5.6430,1.8501,1.8891,20.342
Xp,2,36,6.2173,1.8528,1.9601,21.143
Xp,3,36,6.2173,1.9278,1.9601,21.143
Xp,4,36,6.2030,1.9457,1.9512,21.143
Xp,5,36,6.1674,1.9802,1.9791,20.920
Xp,6,36,5.9791,1.9923,1.9114,20.878
Xp,7,36,5.7891,2.0116,1.9163,20.769
Xp,8,36,5.3888,2.0235,1.9800,20.683
Xp,0,37,5.0913,1.8496,2.0428,21.701
Xp,1,37,5.6619,1.8499,1.8728,21.787
Xp,2,37,6.2420,1.8529,1.9428,21.143
Xp,3,37,6.2420,1.9279,1.9428,21.143
Xp,4,37,6.2280,1.9457,1.9338,21.143
Xp,5,37,6.1957,1.9805,1.9618,21.005
Xp,6,37,6.0054,1.9920,1.8943,20.878
Xp,7,37,5.8140,2.0100,1.8990,21.000
Xp,8,37,5.4099,2.0201,1.9628,20.910
Xp,0,38,5.0993,1.8497,2.0293,21.701
Xp,1,38,5.6795,1.8496,1.8570,21.787
Xp,2,38,6.2663,1.8532,1.9255,21.143
Xp,3,38,6.2663,1.9282,1.9255,21.143
Xp,4,38,6.2526,1.9458,1.9164,21.143
Xp,5,38,6.2236,1.9809,1.9445,21.005
Xp,6,38,6.0312,1.9917,1.8771,20.878
Xp,7,38,5.8378,2.0086,1.8821,21.000
Xp,8,38,5.4309,2.0167,1.9456,20.910
Xp,0,39,5.1072,1.8498,2.0157,21.701
Xp,1,39,5.6957,1.8493,1.8417,21.584
Xp,2,39,6.2902,1.8537,1.9082,21.194
Xp,3,39,6.2902,1.9287,1.9082,21.194
Xp,4,39,6.2766,1.9461,1.8991,21.143
Xp,5,39,6.2509,1.9815,1.9273,21.005
Xp,6,39,6.0565,1.9915,1.8599,20.957
Xp,7,39,5.8606,2.0073,1.8655,21.000
Xp,8,39,5.4517,2.0134,1.9284,20.814
Xp,0,40,5.1157,1.8497,2.0019,21.701
Xp,1,40,5.7102,1.8491,1.8272,21.584
Xp,2,40,6.3137,1.8545,1.8908,21.194
Xp,3,40,6.3137,1.9295,1.8908,21.194
Xp,4,40,6.3003,1.9466,1.8816,21.194
Xp,5,40,6.2776,1.9823,1.9100,21.005
Xp,6,40,6.0813,1.9913,1.8427,21.070
Xp,7,40,5.8824,2.0061,1.8494,21.226
Xp,8,40,5.4724,2.0103,1.9113,20.814
Xp,0,41,5.1238,1.8497,1.9883,21.701
Xp,1,41,5.7231,1.8489,1.8133,21.584
Xp,2,41,6.3369,1.8554,1.8734,21.194
Xp,3,41,6.3369,1.9304,1.8734,21.194
Xp,4,41,6.3235,1.9474,1.8642,21.194
Xp,5,41,6.3037,1.9833,1.8929,21.156
Xp,6,41,6.1054,1.9911,1.8254,21.070
Xp,7,41,5.9033,2.0049,1.8334,21.226
Xp,8,41,5.4926,2.0072,1.8942,20.814
Xp,0,42,5.1308,1.8499,1.9750,21.701
Xp,1,42,5.7348,1.8488,1.7998,21.584
Xp,2,42,6.3596,1.8566,1.8559,21.194
Xp,3,42,6.3596,1.9316,1.8559,21.194
Xp,4,42,6.3463,1.9483,1.8466,21.166
Xp,5,42,6.3293,1.9845,1.8758,21.156
Xp,6,42,6.1288,1.9910,1.8081,21.070
Xp,7,42,5.9235,2.0039,1.8176,21.226
Xp,8,42,5.5123,2.0042,1.8773,20.814
Xp,0,43,5.1375,1.8500,1.9619,21.694
Xp,1,43,5.7454,1.8487,1.7869,21.584
Xp,2,43,6.3818,1.8579,1.8383,21.166
Xp,3,43,6.3818,1.9329,1.8383,21.166
Xp,4,43,6.3687,1.9495,1.8291,21.166
Xp,5,43,6.3542,1.9859,1.8586,21.156
Xp,6,43,6.1517,1.9909,1.7908,21.070
Xp,7,43,5.9433,2.0029,1.8019,21.071
Xp,8,43,5.5315,2.0013,1.8604,20.814
Xp,0,44,5.1443,1.8500,1.9487,21.694
Xp,1,44,5.7554,1.8486,1.7741,21.584
Xp,2,44,6.4033,1.8593,1.8208,21.166
Xp,3,44,6.4033,1.9343,1.8208,21.166
Xp,4,44,6.3905,1.9508,1.8115,21.166
Xp,5,44,6.3787,1.9874,1.8414,21.174
Xp,6,44,6.1741,1.9909,1.7735,21.060
Xp,7,44,5.9628,2.0021,1.7861,21.071
Xp,8,44,5.5499,1.9984,1.8438,21.145
Xp,0,45,5.1512,1.8499,1.9354,21.694
Xp,1,45,5.7645,1.8486,1.7617,21.584
Xp,2,45,6.4243,1.8609,1.8032,21.351
Xp,3,45,6.4243,1.9359,1.8032,21.351
Xp,4,45,6.4118,1.9522,1.7938,21.351
Xp,5,45,6.4025,1.9891,1.8242,21.174
Xp,6,45,6.1961,1.9910,1.7561,21.060
Xp,7,45,5.9820,2.0012,1.7703,21.071
Xp,8,45,5.5674,1.9957,1.8274,21.145
Xp,0,46,5.1578,1.8498,1.9223,21.694
Xp,1,46,5.7734,1.8486,1.7494,21.584
Xp,2,46,6.4447,1.8625,1.7857,21.351
Xp,3,46,6.4447,1.9375,1.7857,21.351
Xp,4,46,6.4325,1.9537,1.7762,21.351
Xp,5,46,6.4258,1.9910,1.8069,21.203
Xp,6,46,6.2177,1.9912,1.7387,21.060
Xp,7,46,6.0011,2.0005,1.7544,21.071
Xp,8,46,5.5842,1.9929,1.8112,21.102
Xp,0,47,5.1642,1.8497,1.9092,21.694
Xp,1,47,5.7824,1.8485,1.7370,21.584
Xp,2,47,6.4646,1.8642,1.7682,21.351
Xp,3,47,6.4646,1.9392,1.7682,21.351
Xp,4,47,6.4526,1.9554,1.7587,21.351
Xp,5,47,6.4486,1.9930,1.7894,21.203
Xp,6,47,6.2390,1.9916,1.7214,21.100
Xp,7,47,6.0200,1.9998,1.7384,21.071
Xp,8,47,5.6001,1.9902,1.7952,21.102
Xp,0,48,5.1708,1.8495,1.8960,21.694
Xp,1,48,5.7915,1.8483,1.7245,21.528
Xp,2,48,6.4841,1.8660,1.7506,21.351
Xp,3,48,6.4841,1.9410,1.7506,21.351
